credit_score,debt_to_income,loan_amount,income,age,employment_years,payment_history,credit_utilization,num_accounts,recent_inquiries,late_payments,credit_length,target
752.4,0.22,19500,92000,42,12,92,0.28,4,1,0,15,0
554.8,0.45,58200,38500,25,2,58,0.81,11,5,2,5,1
716.2,0.26,26500,81000,38,9,86,0.34,5,2,0,18,0
612.7,0.42,47200,52500,31,5,70,0.72,8,3,1,7,1
734.5,0.24,23200,85000,40,11,88,0.32,5,1,0,20,0
648.3,0.38,42500,56500,33,6,74,0.65,7,3,1,8,1
768.1,0.21,17800,96000,44,13,93,0.25,4,0,0,22,0
579.6,0.47,60500,36500,24,1,56,0.84,12,6,3,4,1
692.7,0.31,31500,74000,35,8,82,0.42,6,2,0,16,0
625.9,0.39,45500,54500,32,6,73,0.66,7,3,1,9,1
778.9,0.19,16200,101000,46,15,94,0.22,3,0,0,25,0
595.2,0.44,57200,39500,26,2,62,0.79,10,5,2,6,1
704.8,0.27,27800,79000,37,10,85,0.35,5,1,0,17,0
634.5,0.36,39800,57500,34,7,75,0.62,7,2,1,10,1
785.3,0.2,16900,99000,45,14,93,0.23,4,0,0,23,0
568.4,0.43,58900,37500,25,2,60,0.82,11,5,3,5,1
711.6,0.25,24500,83000,39,11,87,0.33,5,1,0,19,0
609.8,0.41,46800,53500,30,5,71,0.68,8,3,1,8,1
742.7,0.23,21900,87000,41,12,89,0.3,4,1,0,21,0
584.1,0.45,59600,38500,26,3,61,0.8,10,4,2,6,1
721.9,0.28,28500,78000,36,9,84,0.36,6,2,0,18,0
621.4,0.37,41200,55500,33,7,76,0.64,7,2,1,9,0
753.2,0.22,19300,93000,43,13,91,0.26,4,1,0,20,0
577.6,0.46,61100,35500,24,1,57,0.83,12,6,3,4,1
702.5,0.29,29800,77000,38,10,85,0.37,5,1,0,17,0
636.8,0.35,38100,58500,35,8,77,0.61,6,2,1,11,0
762.4,0.21,18200,94000,44,14,92,0.24,4,0,0,22,0
562.9,0.44,57800,36500,25,2,59,0.81,11,5,2,5,1
713.7,0.24,25400,82000,40,11,86,0.34,5,1,0,19,0
611.2,0.4,44100,54500,32,6,72,0.67,8,3,1,9,1
771.5,0.2,17500,97000,45,15,93,0.23,4,0,0,23,0
583.4,0.47,62400,34500,23,1,55,0.85,12,6,3,4,1
694.1,0.3,32100,75000,36,9,83,0.41,6,2,0,16,0
648.9,0.34,36400,59500,34,7,78,0.6,6,2,1,10,0
782.6,0.18,15600,102000,47,16,94,0.2,3,0,0,24,0
597.8,0.43,56900,40500,27,3,63,0.78,10,5,2,6,1
706.3,0.26,27200,80000,37,10,84,0.33,6,1,0,18,0
629.5,0.37,40400,56500,33,7,74,0.63,7,3,1,10,0
749.8,0.22,20100,91000,42,12,90,0.26,4,1,0,20,0
572.1,0.45,60900,35500,24,2,58,0.84,12,5,3,5,1
717.4,0.25,26100,79000,39,11,85,0.35,5,1,0,19,0
620.8,0.39,42700,55500,31,6,73,0.65,8,3,1,9,1
757.2,0.21,18400,95000,43,13,91,0.25,4,0,0,21,0
566.4,0.46,61800,34500,25,2,59,0.85,11,6,3,4,1
687.9,0.31,33200,72000,35,8,82,0.43,6,2,0,15,0
639.2,0.36,38700,57500,34,7,75,0.62,7,2,1,11,0
784.3,0.19,16300,100000,46,15,93,0.21,3,0,0,23,0
593.5,0.42,55600,41500,28,4,64,0.76,9,4,2,7,1
718.6,0.23,23900,81000,40,12,86,0.31,5,1,0,18,0
631.7,0.38,41200,56000,32,6,76,0.64,7,3,1,9,0
761.4,0.2,17900,94000,44,14,92,0.24,4,0,0,22,0
581.2,0.44,58700,37500,26,3,61,0.8,10,5,2,6,1
708.9,0.27,28300,78000,38,9,85,0.32,6,1,0,17,0
613.4,0.41,46300,53000,30,5,71,0.67,8,3,1,8,1
772.5,0.19,16800,98000,45,15,93,0.22,4,0,0,23,0
576.8,0.45,59400,36500,25,2,60,0.81,11,5,3,5,1
719.1,0.26,27400,80000,39,10,84,0.33,6,1,0,18,0
622.6,0.37,41800,55000,31,6,72,0.65,8,3,1,9,0
758.7,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
570.3,0.46,61100,35500,24,2,59,0.82,12,6,3,4,1
689.2,0.3,32700,73000,36,9,83,0.41,6,2,0,16,0
641.5,0.35,39200,58500,35,8,76,0.61,6,2,1,10,0
786.9,0.18,15800,103000,47,16,94,0.2,3,0,0,24,0
589.7,0.43,56300,40500,27,3,62,0.78,10,5,2,6,1
709.4,0.28,29400,77000,37,10,85,0.31,6,1,0,17,0
615.8,0.4,45400,53500,32,6,73,0.66,7,3,1,9,0
767.2,0.2,17200,96000,44,14,92,0.23,4,0,0,22,0
564.9,0.44,57800,36500,25,2,60,0.8,11,5,3,5,1
720.8,0.25,25900,79000,38,11,85,0.35,5,1,0,18,0
626.4,0.36,40300,56500,33,7,74,0.63,7,3,1,10,0
753.9,0.22,19400,92000,42,12,91,0.26,4,1,0,20,0
559.2,0.45,58900,35500,26,3,61,0.81,10,5,3,5,1
691.7,0.29,31800,74000,35,9,82,0.42,6,2,0,15,0
633.8,0.37,37600,57500,34,7,75,0.62,7,2,1,11,0
779.4,0.19,16100,102000,46,15,93,0.21,3,0,0,23,0
585.6,0.41,54900,41500,28,4,64,0.76,9,4,2,7,1
710.9,0.26,26900,78000,36,10,84,0.33,6,1,0,18,0
618.2,0.39,43900,54500,31,5,72,0.67,8,3,1,8,1
768.5,0.19,16700,97000,45,15,93,0.22,4,0,0,23,0
580.4,0.43,57600,38500,27,3,62,0.78,10,5,2,6,1
721.3,0.24,24800,80000,39,11,86,0.34,5,1,0,19,0
629.6,0.35,38400,58500,35,8,76,0.61,6,2,1,10,0
754.7,0.21,18800,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
692.4,0.31,32300,75000,36,9,83,0.41,6,2,0,16,0
642.1,0.34,36900,59500,36,8,77,0.6,6,2,1,11,0
787.6,0.18,15300,104000,48,17,94,0.2,3,0,0,25,0
591.3,0.42,55400,41000,29,4,65,0.75,9,4,2,7,1
711.8,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.44,58600,36500,26,3,61,0.81,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
631.9,0.36,40700,56500,33,7,74,0.63,7,3,1,10,0
752.4,0.22,19500,92000,42,12,90,0.28,4,1,0,20,0
563.2,0.45,59300,35500,25,2,59,0.82,11,5,3,5,1
693.1,0.3,32800,73000,35,9,82,0.42,6,2,0,15,0
643.8,0.35,37400,57500,34,7,75,0.62,7,2,1,11,0
781.5,0.19,16000,101000,46,15,93,0.21,3,0,0,24,0
587.4,0.41,56100,40500,27,3,63,0.78,10,5,2,6,1
712.6,0.24,25400,78000,36,10,85,0.34,5,1,0,17,0
613.9,0.4,44400,53500,32,6,73,0.66,7,3,1,9,0
766.2,0.2,16900,96000,45,15,93,0.22,4,0,0,23,0
